comment,label
thanks mam.... for fabulous teaching to us.........i understood this chapter..... your explanation is 2 better,F
,I
bts army herebest teacher,I
nice teaching mam,F
may 2024 main kon kon dekh rahe hoon,I
bvebsehffffhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,I
10:00 @guddu,I
2024-2025 commerce vale attendance here,I
i am 45yr doctor parent of a 11th student. i loved your style and i could understand all this.thanks and keep the good work up.,F
mam you and your presentation of teaching is a masterpiece,F
2024-2025,I
thank u mam,F
thank you mam mam actually mera na kal test hai ... hamare sir ne starting main hi test lene start kar diye par mujhe milakar kuch bacho ne session late start kiya par sir ne chapter 1 complete kar diya aur hame ata nahi tha par ab aa gya thanks mam,F
mam you are perfect teacher for mam,F
26:51 natural number is a subset of rational number,D
it could be more better if you will teach us in a board especially maths,F
i am batch 2024 - 25,I
wow,I
wkw,I
thanku maimmai bahut pareshan thabut apne mere saare doubt clear kr diyevery very very thanku....,F
or 2023-2024 boards walo aagye yaha bhi,I
rcb wale karo,I
nice explanation,F
2024-2025,I
37:20 op,I
2025_2026,I
2024 - 2025 batch attendance here,I
nice,I
kis kis ko ye video dekhne ke baad sets chapter samajh aaya like karo,I
mam your teaching medhod is really nice,F
wavy curve ?,D
really good teacher,F
mam you are a amazing teacher.........,F
2024-25 batch attendance here,I
2024-25 batch,I
wonderful explanation,F
2099-3000,I
https://www.youtube.com/playlist?list=pljqxrgnvd1bl9_xeqmny81ywbgrcs_v-5,I
2024-25 batch.,I
47:15,I
really we understood,F
samajh gaya,F
me to (the exam wing )se study kr rahi ho vo 2024 - 2025 new syllabus ke according pada rahi h,I
2 2024,I
legends students 2024-25 batch like here only legends,I
2022-2024,I
2024 -2025 attendance please,I
any repeater??,I
sb smjh me aagya bss last ques nhi aaya..... jb total teachers hii 20 the aur usme se 12 maths ke hain toh 12 physics ke kaise ho skte hai anybody explain yr.....,D
guysss im cofused whether to choose maths or notis maths in 11 th easy or not,D
thank you so much ma'am,F
who is watching it in 2024,I
1:23 we are not ladies,D
34:00,I
hi,I
2024-2025 batch attendance here,I
mammm,I
mammm,I
mammm,I
mammm,I
hii,I
hii,F
2024-2025 attendance here,I
i am an nda aspirant and i pursued my class 12th as a pcb student from today i am going to start maths for my exam in septemberthankyou very much mam for such great explanations,F
14:43mam here you missed to mention *natural* number.,F
madam please in telugu or english,F
,I
2024-2025 students attendance here..,I
2024 - 2025 present,I
"love u mam ,",I
2024-2025 batch,I
2024-25 batch attendance here,I
kal mera exam hai and i m here,I
"damnnn, ma'am said she won't prove de morgan's law, but she still proved it at 57:58 thanks so much ma'am!!!",F
2024-2025 batch attendance here,I
2024 - 2025guys aajao.....,I
batch 2024-2025 .... attendance here,I
2024-25 batch attendence here,I
batch 2024-25 attendance here,I
legends who r learning this on class 9,I
hey mam the last sum looks wrong corrcet me 20-12+4 = 4 ?? hoe did you get 12,F
jnv and kv students,I
2024 to 2025 wale atendence legafo,I
2024-25 batch students attendance here,I
2024-25,I
mam ka naam kya hai?,I
49:10,I
2024-2025 batch attendance here,I
ansh jani present,I
2024-25 attendance here...roll no. {in 10th},I
2024 - 25 batch attendance here,I
2024 25 batch wale attendance lagao,I
2024-25 batch,I
after 10th boards everyone is chillingand me starting maths ch 1 of class 11th,I
2024-25 batch attendance here,I
2024-2025 batch attendance,I
2024-2025 batch attendance laga doneet wale like karojee wale comment karo,I
any 2024-2025 student?,I
"well, my 10th is over and now i am here to start 11th.. cause i got nothing to chill for.",I
i am the batch of 2024-2025,I
mam is video ke notes mil sakte hai,F
nice video,I
2024-2025 batch,I
2024-2025 present here,I
mam you are explaining in very good way thanking you,F
actual legends are those who are in std 12 but now came here to clear their concepts.,I
but mera cbse nhi hai to ye video only cbse vale ke liye hi hai kya...,D
i couldn't stop myself on commenting on this videosuch a nice teacher,F
2024-2025 attendance please,I
i love this lecture,F
paper chal rahe hai na tumareee,I
mam you are a great teacher,F
thank u mam,F
2024-25 attendance,I
,I
2024-2025 attendance here,I
adhi adhuri chizo se ache no. lana impossible hota h,I
i am 2024-2025 batch,I
nice,I
class 10th walo exam chll rahe h lekin 11th ka padhai suru kar rahe hain,I
for the 1st time i understand everything in sets,F
who else is from commerce stream like me,I
mam hindi medium ka math 11th class nahi chalega,D
super,I
13:45,I
hlo i am from class 9 wanna get iit,I
mera kuxh complete nhi hua hai phat raha hai,D
hi,I
24-25 batch attendance here..,I
your teaching style is very good ma'am,F
our school is been teaching us venn diagrams and all the reasoning questions since 5th class,I
so super mam,I
10din phele dekh rha hu paper ke,I
careerflux.....rahul bhaiya ke lec. dekhne ke baad aaye hue students attendence.,I
"2 2 the power 3. ,8 kaise hota hi",D
thank you ma'am,F
good,I
useful vedio,I
"thank you so much mam, i am ready to crack my maths exam",F
thanks maam,F
a very well explained..!!_thank uhh so muchhh mamm..,F
rahul bhiya ke video se aae hue bacche !!,I
like if you are watching this video in february 2024,I
career flux audiance,I
like who is from career flux,I
mam thnx,F
waah di waah pura samjh gya,F
,I
thank you so much ma'am.. it was extremely helpful and easy to understand!,F
there are about 2.4 billion rats in india,I
tq sis,F
"u r doing wonderful job specially for those students who want to learn in one hour like me thanku so much mam ,",F
hyy,I
i am in 4th std can i study this chapter,I
supb mam all understand,F
aaj se padhai start koi all the best bol do,I
correction:ma'am there are 2400 million rats in india... therefore its a finite set,F
god bless you madam ji,I
ncert + this lectures = solid concept,F
it was an amazing one shot. mam you are famous for one shots...,F
https://youtu.be/il7l6tgkfiw?feature=shared,I
2024 wale like karen,F
tomorrow is my exam,I
very well explanation of everythingthank you so much mam for teaching us,F
please make videos in english as well mam,F
2024,I
where to download these notes?,D
mam samaj toh aa gaya lakinn isse life ma use kaha karna hye,D
i'm also singleton,I
mam video bahut mast tha sub kucha samjme aaya thanks mam,F
im in 9th studing 11th preparing for jee,I
chapter 1 60%,I
2027-2028 batch attendance,I
last mai answer galat nikala mam ......pehle addition krna tha,F
nice work,F
mam enumerable ka hota hai,D
rats in india are still a finite set,I
mam aapne equivalent set miss kar diya why,F
,I
mam aap bhut acha padhate ho,F
hello mam.. wonderful video..can u please tell the equipments used to prepare this video,D
kon kon 12 ka,I
mam please 8th pur be class lejia plsss,F
kon kon 9th 2023 ka he,I
thank you so much this helped me a lot ...i appreciate you for this videoyou r such a great teacher....,F
nice class,F
2400 million rats in india,I
2024- 2025 batch while i am in class 10 .,I
,I
,I
"26:51 i have one doubt... why can't we take more odd number which are less than 6 but are in negative like -1,-2,-3...",D
thanks mam,F
kaun kaun yha. arif sir ke suggestions ke bad aaya h,I
30:40,I
bhai bhiya maths wale se math padhna sabi rahega.???,I
29:16,I
kaun kaun class 11 2023 ka hai like+++,I
can't relate to singleton set more,F
thank you mem,F
watching this in bsc biotechnology 1st year,I
thank u,F
i study in class 12 but we complete set chapter in very easy way thanks mam for lot of helping,F
no one in the world can explain it like you. i actually go to classes and study by watching your videos. you study very well. thankyou so much mam,F
,I
"you are the perfect teacher i ever seen in my life ....if every teacher is like you then, not even a single student take studies too hard",F
40:49,I
no mam set a is not a singleton set because it is a mingleton set ( two elements ).,F
thankyou sister,F
,I
pls ban mathsme,I
class 11 chapter 8 binomial theorem introductionhttps://youtu.be/1nvbe7kv7hu?si=iwkfc1tvzx1h5h4b,I
very good,F
accha lagaa,F
thank you so much,F
ma'am really 1st time i understood everything about the chapter u r really a perfect teacher and explained everything in only a hour really u r amazing,F
should have been a lil more elaborate regarding properties,F
,I
you introduced this chapter very wellthanks mam,F
tomorrow will be exam,I
bhut acha explain kiya apne mam,F
this is saviour for thise who are studying one day before exam,F
all the best for tomorrow exam,I
ma'am zero (0) is also even number??????,D
sach me ma'am pura concept hi cristal clear ho gya,F
last wala samajh nhi aya,D
bro what happened at the end,D
thanks so much ma'am and your the great teacher,F
watching this lec for my bca exam,I
mam your video is save my time than yuo mam,F
19.56 yes india mai 8653 rats haior yakin nahi aaraha ho to gin lijiye,I
osm didi,F
thx,F
hfi8f,I
"thank you,mam",F
thank you miss because of you all the doubt became crystal clear,F
highly appreciative effort. thank you ma'am..,F
di complex variable ka video baanaye na please ....di,F
man jab apne venn diagram ma aub kara toh usme apne aaurb wala circle kyo liya,D
if school get you students prefer only you for all subjects,I
i will suggest this video only for revision..if you want to understand it deeply then dear sir lecture is best,F
mam notes pdf,D
fine,I
mam can u do in english...it helps other students who don't understand hindi properly,F
1st chapter but i'm here in august studying for 1st term exam,I
"thank you ma,am",F
thank uuuu mam soooo much ..... .....,F
11th here,I
"at 41.07, i think -4 shouldn't be included.",F
its vowels not wawals,F
vawaalll,I
2023-24 give you attendance,I
thank you very much mam tommorw is test and i saw ur video and cleared next i will watch chapter 2,F
kisko kisko ye video dekh kr man achcha lag rha h wo comment kre,I
concept hua crystal clear,F
mam please teach applied maths too,F
i hate this mam....,I
"mam your dress looks prety , because of there design",I
thank you sooo much mam,F
who is seeing this video of class 11 but in 9th i am in 9th mam but you teach very well i understand alll things because i am preparing for jee so i am completing my syallabus of jee because the difficulty level of maths in jee is lot so i am preparing from btw thanks mam i understand all from today i see your videos of class 11 then class 12,F
thank you mam super class,F
nice explaination mam,F
i am in 9th but still i am seeing 11th maths video for preparing jee,F
stunning,I
thank u roshini deshmukh mam,F
thank you,F
i learned great thing today 23 = 8,F
thanks for teaching ma'm,F
4:26,I
nice,I
mam aap o examples solve kaise karte hay,D
thank you mam,F
batch 2023 - 24 students attandance here,I
aapka sadi ho gya hai 2:39,I
is set really important for understanding limits and deratives,D
reallity thanks for this video,F
https://youtu.be/n05ciy3hrj8,I
thank you mam for better understanding,F
i am a element of singleton set,I
mam please english translator u r teaching super but i am kannada medium so ur kannada or full english tell please mam,D
this one hour is mind blowing and it is very help full for me thank you for this video mam,F
kl xm h,I
hey! 2023-24 attendance lagaojaldi jaldi,I
tommorow is my test and this video was so helpful thankyou so much mam,F
how much percent u hv got in 10th guys??,I
ma'am u are awsome at first i left maths in class 11th but after this lecture am going to opt math.,F
excellent teaching,I
very nice mam crystel clear all topics,F
what is difference between and sign,D
last ka samajh nahi aaya,D
wow super mam.. everyone can understand if some one say like this.. u explained very well thank you so much,F
mam u are a great teacher i have never understood the concepts before ityou are so great mam and thankyou mam for such a great videos,F
very well explained!!!,I
https://youtube.com/@understandingmathematics3623,I
thankyou mam,F
,I
34:05,I
today is my first lecture of maths from your channel andi love your way of teaching in limited timeand tomorow is my unit test in class & i cant' study for a month because of accident happened me during cyclingbut today i watch your lecture i just felt that we dont' have only teachers who are using smart board some are using thier expierencethank you mam : ],F
number of rats in india is a finite set not a infinite setyou may not count is but the number of rats in india is finite,D
"first time watching your video mam, and i wish i knew hindi... i'll try to watch this whole video",F
how to download notes?,D
yaha kon kon single ton set hai {1}(samaj rahe ho),I
wow,I
mam associative law ko acha sa samja dejeya please,D
mam your teaching method is very nice i like your teaching,F
thank you so much ma'am for making me confident in math,F
ma'am u just explained so welli understood each and everything in detail just in an hourur made my concepts so clear and explained them in so simple examplesi am going to study for my 11 class from ur channel itselfthank u so much ma'am,F
thank you so much madam,F
mam plz explain in english method,D
thank you mam,F
36:49,I
ma'am aap ne bala ki members of set small letter mai likhte hai to aapne mathematics ke members capital letters se kyu likhe,D
link for best contenthttps://youtu.be/jpxtzcx3ekc,I
thank you mam for helping with the concepts,F
28:42,I
51:16,I
i love you mam very much,I
mam rats ko to gin skate he isle vo infinit set hota he ////time is20:to21///,D
why you all the teachers skip the q.3 of (iv) and ......?????,D
kya ya lecture jee ka liya kafhi ha,D
mam in 26:05 it is aa equal set or sub set,D
very good vedio my relative's son passed in 11th class after watching this video.,F
every teacher : this is easy*but in reality *student get shockedafter seeing the answer,I
17:54 is it just me or did she actually said that?,I
i watch your videos in my aakash classes',I
the crystal clear will be in 1 minute when we hear the concept because ma'am is here.,I
excellent i dont know hindi much but still i can understand,F
"well explained ma'am, actually i am from biology stream and it was very difficult to understand me but u explained very well.. keep it up. or agr sach kahu to iit ke teacher ne bhi itne ache nhi pdaya unka to bilkul smjh nhi aaya lekin aapka ek bar mai smjh aagya",F
47:00,I
xi xi lao shi .,I
mam you are great complete clear ch ( love you mam ),F
thank you so much mam,F
maam its really a magic exellent teaching i understood full chapter maam thank you for guidence,F
thank you so much mam,F
this maths is not going to help in our life . all are useless. only wasting our time to do this this and this .,I
very nicely explained,I
madam maje aagye bas aase hi padhati rah..,I
,I
mam aapki class mujhe bahut bahut bahut aachi lgj aapka explain krne ka tarika akdam hatke hai... mast hai akdam ... kass mai aapse offline padh pata..,F
not joking.. but i heard adhah sharma's voice,I
mam please section 2023 ka according videos banao,D
mam can u teach in english..so that non hindi speaking state students also get ur excellent teaching..,D
very nice videi understand the solution,F
,I
ap bahut achha samjhate hai mam,F
iu madam,I
mam aap to all rounder ho,I
nyc video,I
mm after studying this topic from you i really feel a deep atttachement from you,F
14:47 me kya hum x<13 nahi liksakte he?,D
mam what is the difference between power set and universal set?,D
2023-2024 batch,I
very nice explained.,I
thatmoment 29:23,I
38:45 was the cutest part of mam,I
thanks mam,F
33:42,I
any ca foundation students here,I
"ma'am one doubt,if a is subset of b,b is subset of a. then which is superset?",D
kisko sets ki alawa kuchh aur sunai de rha h,I
amazing,I
thanks mam such a helfull vedio,F
very nice teacher,F
21:53 hehehe,I
mam really this is my first class of maths in class 10 (2023-2024) mam sab samaj aa gya ik hi baar me,F
2023 - 24 batch,I
kitne 2023-24 ke batch hai attendance dedo,I
mam kisi condition ma setb subset hoga set a ka,D
ma'am plss try to explain everything with atleast 1 example,F
10th ki marksheet ane ke baad deakh raha hu,I
big fan mam,F
57:03,I
very good mam,F
10th ka sets tho sahi se padh nahi ye padh raha hu,D
super mam,F
"all my doubts are cleared now,feel much better honestly.. thank you so much ma'am...",F
in just one shot i understood everything about this chapter n i am really glad to myself that i completed this chapter with all the examples n exercises questions of ncertafter 10th this is my first chapter n i m so happy that i completed it.thankuhh so much mam,F
thank you very much mam,F
mam agar a set and b set equal hai toh kya ham aesa bol sakte hai kia is the superset of b and b is the superset of a,D
mam background bahut aachi hai mind ko active kar deta hai,F
mam please give some questions about set,D
2022-23 board exam studentwithout result i am watching your videos,I
great teacher,F
thanks mam,F
those students learn from here they will understand ch 1 clearlyi'm right or not,F
mam app bhut asha pdate ha you are super best teacher app basics se pdate ha,F
2023-2024 mai abhi abhi koun math ka 1st chapter padh raha haicomment below,I
thanks a lot ma'am,F
"any icse student here who is changing school so, learning cbse maths for pcmb streambut, cbse is dam easy for any icse student after class 10 because, cbse 11 syllabus is done in icse 10 .",I
good morning mam,I
"yes,mam",I
"thank you,mam",F
"hello,mam",I
very well explained.... understood in one shot,F
thank you sam i mean mam,F
mam you are soo brilliant thank you for being a member of our life journey and explaing without any expenditure. salute button there mam joke tha salute mam jai mam,F
to the point. no drama nothing,F
bca student,I
amazing and super,F
11th wale attendance lagwao,I
10th students who here after passing board in 2023,I
2023-2024 batch attendance here,I
thanks mam..... i hve understood the concept,F
session 2023-24 wale attendance lgao !,I
mam ur teaching is good but i understand only few hindi language so could u please add more eng languages thank you,F
"mam isa=(m, b, v) =b=(m, m, b, b, v, v)",D
tomorrow my exam 2023,I
thank you so much mam,F
big thanks to mam for this video tha......,F
thank you mam,F
wow!!!!just wow!!!!!!!,F
yeah i agree,I
where is ur board?,D
thank you so much it helped me a lot in studying and keep making videos like these you have the best course in town,F
batch 2023-2024 give ur attendance,I
legends here one day before exam,I
this was my first day in 11 th online class,I
thank you so much ma'am for this wonderful lecture..,F
god bless you mam,F
mam for the last question wont the answer be 4,D
mam you are loking like odia actre alina,I
i am just speechless after watching this !!what a marvelous way of teaching ma'am ...thanks a lot ma'am,F
commerce ke sath maths aur cs leli triple kill,I
i understand everyhing very easily thankyou maam,F
venn diagrams clear nhi hua hai madam,D
"thank you so much ma'am, much appreciated stay blessed",F
didi m apko kese thanku karu..mtb 1hr m itna achha to dear sir bhi nhi pdha pate...hats off to you,F
samjhane ka trick is very very amazing.i completely solved my problems in 1 hour .thanks mam for providing me solutions,F
very very nice video,F
gajab,F
"1:01:09 ma'am kese ho saktha hey yeh ? 12 teach maths , 12 teach physics but given only 20 teachers ye 24 kese hogaya ?!?!?!?!!?!",D
can't we write in e set that x is divisible by 3?,D
calo ye bhi thik hai,I
"really u are great mam mtlb kaise padhte ho aap ye 4subjects ek sath mind-blowing .... maths ni h meri tb bhi padhni pdh rhi h but 12th ke baad ye kaam ari....or samjh apki wajah se ari hthnk u physics,bio, chemistry or maths itne ache se samjhane ke liye",F
intervals 36:15,I
25:57 just look at ma'am eyes,I
the video was just awesome....it clear my all doubt about this topic...tq mm,F
very good teaching,F
sets are like codes.agreed can do like,F
"thankyou so much mam ,it really helps me to understand all the concepts.",F
.,I
.,I
.,I
.,I
.,I
.,I
.,I
.,I
.,I
legends are watching for compartment exam,I
,I
very very helpful for me.,F
2023-24 batch like here,I
come for improvement,I
my 10th results 2023 march 93.87./.,I
you have made my day! your video just cleared all my doubts about the concept. thank you so much,F
ma'am super osm explanation,F
bhaii meine toh pcb liya tha 11th mein or ab 11th mein ayyi hu toh optional mein meine maths le liya ab mein 11th or 12th dono ka maths kr rhi hu .and i m worried ki kaise kya hoga yrr,D
,I
bhai ma fail hoagay 11th ma repeat kar raha hau plz aab achi tarah padna ma achi tarah pada lekin pta nahi kya ho gaya plz study start kardo,D
pcm wale aagye,I
roshani mam u r a life saver . i really very scared of maths . ur videos really helped me in class 11 . thnks a lott mam for saving me . u r the best teacher in the world,F
singleton set defines me lol,F
"hey, who are here after class 10 session 2022-23 !!!",I
super.. madam,F
i am alone watching this after 4 days of 10th 2023 board exams,I
kaun kaun bina 10 ka result aaye 11 ka maths complete karne aaya hai,I
class 10 ki vacation me 11th ki math shuru kar diya,I
mai itna jos mai aa gai ki parso board khatam hota hi 11 ka suru kar di,I
will learn maths from you in my eleventh and twelveth journey,F
thankyou,F
ohh gosh thank you for making this video,F
nice i liked it,F
you are the best teacher ma'am,F
hello mam my 10th boards are over and now i am here to study math for 11thi have few doubts --is -3 also a multiple of 3as you said in even number - the number which are divisible by 2 but every number is divisible by 2 but only few left remainder 0 so we should add it also,D
kaun kaun 2023 mein 10th ka exam khtm hone k baad dekh raha ye?,I
who is hardik pandya,I
teacher your good teaching.,F
my 10th boards ended on 21 ...and i'm here to start class 11th maths,I
thank you ma'am,F
me after ending my 10 boards... preparing for 11,I
kaun kaun class 10 2023 ka hai like +++++,I
you teach in an understandable manner but can you please find a way to teach in english also,F
please include hindi in the title of the video.,F
watching videi before 4 hr from my annual exam,I
"i am totally new to math. i left math in 10 long back. i am 48 yrs old. i was a genetics student. felt so nice listening to the lesson, felt confident that yes i too can learn now and do. thank you so much ma'am",F
mam learner hub dil se,F
who is here for revising maths for jee and ndalike karo yrr...,I
nice lecture,F
thankyou so much mam for teaching uss. your explanation is very well explained,F
im studing 6th class iit it is very importent for me thanks mam,I
.,I
mam apka shadi hogya,I
thanks so much mam,F
^legend are watching this 1 day before their exam^,I
_amazing session_,F
*thank you so much mam*,F
mam pls add subtitles,F
i think i belong to singleton set,I
follow me,I
mam u are all in one u can teach pcm very nicely.anyone agree comment below,F
thank u mam,F
i give u respect mam,F
"i am proud of you mam i really understand this unit mam,and all is possible for you",F
",",I
you are a great teacher,F
the way you teach is the best,F
mam list form and specification form kya hai,D
tq maam,F
mam last question mai 4 answer hai,D
this is not a chapter........halwa hai..pura gajar ka halwa hai....,F
thanx mam,F
best,F
thankyou very much mam,F
"mam bahut jayadhaa thanks app kaa , kaal meraa final exm hai kuch nahi ataa , abb app kee videos dekh kar sab samaj a rahaa hai mam",F
chutkio mein sets ho jaaega.... 1:08,I
3sc8gn,I
best explanation on youtube,F
jhakas,F
thanks mam i love you too,F
mam you are so cute i love you,I
i am a student of class 9 and i studied from your video...really believe me it was the rocking lecture i understood the whole chapter....,F
"watching it at 12:30 am and at 9 am, there is my exam.",I
like those who are here to check maths is easy or hard if it is easy then and only to choose science,I
good class,F
0:29 whatt and 20:51,I
thanks mam,F
excellent explanation ma'am. good job,F
im a bio student till 12 and now i need to study maths just for one sem,I
watching it 10 hours before exam,I
concept hua crystal clear,F
thank you,F
superb video,F
thank u mem it's unique video about setsthank you,F
thank you very much madam,F
thank you very much to teach in 1 hour which help me to prepare every chapter before math exams,F
mam we say vowels not vawels,D
in 7:55 mam said vawels,D
thank you ma'am,F
"thank you mam ur giving the course which cost in free thanks a lot mam , and i dooo understand the concept",F
mam i am not understanding what you are teaching,D
i am having preboards tomorrow and i am here today. thank you it helps so much,I
madam nice explaination about set.,F
mam u are so intelligent.....mam u should teach computer science also from sumita arora's book 'learning computer science with python....we believe you will also do this for us....but for now we can request you for that........,F
thank you so much mam,F
rats in india is a finite set man,D
circle banaye na,F
10 th student who here after cancelling of board like,I
you all are shock when i say that i study this in class 6,I
mam jo baat h aap accha padhaate ho,F
vavels,D
,I
dii kya aap jee ke class suru kr skte ho kya please,F
mam you are greatsymbol of excellence,F
your dark-circles well describes your hard-work !!,I
iam professor of mathematics ok,I
hii,I
best set teaching mam,F
mam very nice,F
commerce student like,I
am i the only one from class 8th,I
ultra legend pro is watching this video before one day of examination video speed 2x,I
17:53 listen carefully aur jo sunai diya reply karo,F
mam thank you so much for such a brilliant explanation in one shot.mam empty set has no elements but we called it set according to set definition set is a well defined collection of objects if there is no objects how we called it setmam kindly explain it...,F
thank you mam for this video,I
